"","AMENITY_RECORD_ID","LISTING_ID","NAME_AMENITY"
"1",1,1,"Closet"
"2",2,1,"Aircon"
"3",3,1,"TV"
"4",4,1,"Stove"
"5",5,1,"Attached Bathroom"
"6",6,1,"Fridge"
"7",7,1,"Bed"
"8",8,1,"Wireless Internet"
"9",9,1,"High Floor"
"10",10,1,"Washer"
"11",11,1,"Corner Unit"
"12",12,2,"Fibre Ready"
"13",13,2,"Renovated"
"14",14,2,"Closet"
"15",15,2,"Fridge"
"16",16,2,"Bed"
"17",17,2,"Aircon"
"18",18,2,"Wireless Internet"
"19",19,2,"High Floor"
"20",20,2,"Washer"
"21",21,2,"Corner Unit"
"22",22,4,"Renovated"
"23",23,4,"Aircon"
"24",24,4,"Fridge"
"25",25,4,"Bed"
"26",26,4,"Wireless Internet"
"27",27,4,"Mid Floor"
"28",28,4,"Washer"
"29",29,4,"Fibre Ready"
"30",30,5,"Wireless Internet"
"31",31,5,"Aircon"
"32",32,6,"High Floor"
"33",33,6,"Renovated"
"34",34,6,"Aircon"
"35",35,7,"Closet"
"36",36,7,"Aircon"
"37",37,7,"Stove"
"38",38,7,"Fridge"
"39",39,7,"Bed"
"40",40,7,"Dryer"
"41",41,7,"Wireless Internet"
"42",42,7,"Washer"
"43",43,8,"Closet"
"44",44,8,"Aircon"
"45",45,8,"Fridge"
"46",46,8,"Bed"
"47",47,8,"Wireless Internet"
"48",48,8,"Mid Floor"
"49",49,8,"Washer"
"50",50,9,"Renovated"
"51",51,9,"Aircon"
"52",52,9,"TV"
"53",53,9,"Sofa"
"54",54,9,"Stove"
"55",55,9,"Fridge"
"56",56,9,"Bed"
"57",57,9,"Wireless Internet"
"58",58,9,"Oven"
"59",59,9,"Dining Room Furniture"
"60",60,9,"Washer"
"61",61,9,"Closet"
"62",62,10,"Aircon"
"63",63,14,"Renovated"
"64",64,14,"Aircon"
"65",65,14,"TV"
"66",66,14,"Attached Bathroom"
"67",67,14,"Bed"
"68",68,14,"High Floor"
"69",69,14,"Fibre Ready"
"70",70,15,"Fibre Ready"
"71",71,15,"Closet"
"72",72,15,"Aircon"
"73",73,15,"Stove"
"74",74,15,"Attached Bathroom"
"75",75,15,"Fridge"
"76",76,15,"Bed"
"77",77,15,"Wireless Internet"
"78",78,15,"Washer"
"79",79,15,"Corner Unit"
"80",80,16,"Renovated"
"81",81,16,"Aircon"
"82",82,16,"Sofa"
"83",83,16,"Stove"
"84",84,16,"Fridge"
"85",85,16,"Bed"
"86",86,16,"Low Floor"
"87",87,16,"Wireless Internet"
"88",88,16,"Dining Room Furniture"
"89",89,16,"Washer"
"90",90,16,"Fibre Ready"
"91",91,16,"Closet"
"92",92,17,"Wireless Internet"
"93",93,18,"Closet"
"94",94,18,"Aircon"
"95",95,18,"Fridge"
"96",96,18,"Bed"
"97",97,18,"Wireless Internet"
"98",98,18,"Washer"
"99",99,19,"High Floor"
"100",100,19,"Washer"
"101",101,19,"Fridge"
"102",102,19,"Bed"
"103",103,20,"High Floor"
"104",104,20,"Bed"
"105",105,20,"Aircon"
"106",106,20,"Wireless Internet"
"107",107,21,"Washer"
"108",108,21,"Fridge"
"109",109,21,"Bed"
"110",110,22,"Washer"
"111",111,22,"Bed"
"112",112,22,"Aircon"
"113",113,22,"Fridge"
"114",114,23,"Renovated"
"115",115,23,"Aircon"
"116",116,23,"Sofa"
"117",117,23,"Stove"
"118",118,23,"Fridge"
"119",119,23,"Bed"
"120",120,23,"Wireless Internet"
"121",121,23,"Dining Room Furniture"
"122",122,23,"Washer"
"123",123,23,"Fibre Ready"
"124",124,24,"Aircon"
"125",125,24,"TV"
"126",126,24,"Stove"
"127",127,24,"Fridge"
"128",128,24,"Bed"
"129",129,24,"Dryer"
"130",130,24,"Washer"
"131",131,25,"Closet"
"132",132,25,"Aircon"
"133",133,25,"TV"
"134",134,25,"Stove"
"135",135,25,"Fridge"
"136",136,25,"Bed"
"137",137,25,"Dining Room Furniture"
"138",138,25,"Washer"
"139",139,25,"Corner Unit"
"140",140,26,"Closet"
"141",141,26,"Aircon"
"142",142,26,"Sofa"
"143",143,26,"Stove"
"144",144,26,"Fridge"
"145",145,26,"Bed"
"146",146,26,"Walk In Closet"
"147",147,26,"Wireless Internet"
"148",148,26,"Mid Floor"
"149",149,26,"Dining Room Furniture"
"150",150,26,"Washer"
"151",151,26,"Fibre Ready"
"152",152,27,"Aircon"
"153",153,27,"Closet"
"154",154,27,"Sofa"
"155",155,27,"Stove"
"156",156,27,"Fridge"
"157",157,27,"Bed"
"158",158,27,"Oven"
"159",159,27,"Dining Room Furniture"
"160",160,28,"Closet"
"161",161,28,"Aircon"
"162",162,28,"Fridge"
"163",163,28,"Bed"
"164",164,28,"Wireless Internet"
"165",165,28,"High Floor"
"166",166,28,"Washer"
"167",167,29,"Fibre Ready"
"168",168,29,"Aircon"
"169",169,29,"Closet"
"170",170,29,"Bed"
"171",171,29,"Wireless Internet"
"172",172,29,"Washer"
"173",173,29,"Corner Unit"
"174",174,29,"Renovated"
"175",175,30,"Renovated"
"176",176,30,"Aircon"
"177",177,30,"Attached Bathroom"
"178",178,30,"Bed"
"179",179,30,"Wireless Internet"
"180",180,30,"High Floor"
"181",181,30,"Corner Unit"
"182",182,30,"Closet"
"183",183,31,"Renovated"
"184",184,31,"Aircon"
"185",185,31,"Fridge"
"186",186,31,"Bed"
"187",187,31,"High Floor"
"188",188,31,"Washer"
"189",189,32,"Renovated"
"190",190,32,"Aircon"
"191",191,32,"Sofa"
"192",192,32,"Stove"
"193",193,32,"Fridge"
"194",194,32,"Bed"
"195",195,32,"Wireless Internet"
"196",196,32,"Mid Floor"
"197",197,32,"Washer"
"198",198,32,"Corner Unit"
"199",199,33,"Renovated"
"200",200,33,"Aircon"
"201",201,33,"Fridge"
"202",202,33,"Bed"
"203",203,33,"Wireless Internet"
"204",204,33,"High Floor"
"205",205,33,"Washer"
"206",206,33,"Corner Unit"
"207",207,34,"Bed"
